,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,region1,region2,region_1_mean,region_1_std,region_2_mean,region_2_std,p-val_fdr_corrected,p-val_bonf_corrected,p-val_holm_corrected
T-test,-7.741850537625964,117,two-sided,0.0,[-0.01 -0.01],0.42790398441245625,2.06e+09,0.995973001617266,S1L-M1L_ODI_pre,S1L-M1L_ODI_post,0.3040028542124287,0.02228994305220382,0.3131748896673797,0.020353679489668625,0.0,0.0,0.0
T-test,-0.556224370747334,117,two-sided,0.57912,[-0.  0.],0.0032414402486671537,0.119,0.05013971913750501,S1L-ParacentralL_NDI_pre,S1L-ParacentralL_NDI_post,0.18543770763229922,0.02803106304368745,0.18552817248542905,0.027547504330379925,0.6104237837837838,1.0,1.0
T-test,-25.757996510920645,117,two-sided,0.0,[-0.06 -0.05],1.1579490454741843,3.624e+46,1.0,S1L-ParacentralL_ODI_pre,S1L-ParacentralL_ODI_post,0.3409879683394813,0.053501492895261814,0.397588511148237,0.04330822239215707,0.0,0.0,0.0
T-test,0.46534977616744044,117,two-sided,0.642546,[-0.  0.],0.00803456100546604,0.114,0.05085880486074376,S1L-S1R_NDI_pre,S1L-S1R_NDI_post,0.17540008965354528,0.02904112916959273,0.1751755273579281,0.02656550887750844,0.6682478399999999,1.0,1.0
T-test,-37.40835601370605,117,two-sided,0.0,[-0.07 -0.06],1.8826737468383408,1.872e+63,1.0,S1L-S1R_ODI_pre,S1L-S1R_ODI_post,0.16415015690227341,0.03773719634377779,0.2269394395820517,0.02795793720539664,0.0,0.0,0.0
T-test,-0.7124368744089838,117,two-sided,0.477613,[-0.  0.],0.004316458526395282,0.131,0.05024777852702589,S1L-SubthalL_NDI_pre,S1L-SubthalL_NDI_post,0.2530596380660931,0.02588900864459606,0.2531706800504364,0.025340080510801267,0.5103262191780822,1.0,1.0
T-test,-32.07154140825837,117,two-sided,0.0,[-0.04 -0.03],2.0402541313495126,1.64e+56,1.0,S1L-SubthalL_ODI_pre,S1L-SubthalL_ODI_post,0.15673371844958303,0.01728961706288255,0.1935790372345964,0.018649651158197514,0.0,0.0,0.0
T-test,-5.230970199728886,117,two-sided,1e-06,[-0. -0.],0.0720703504453067,1.725e+04,0.1214128017351638,S1L-ThalfusL_NDI_pre,S1L-ThalfusL_NDI_post,0.2248592118879505,0.02840965513542501,0.22683862408518876,0.026244214380948306,1.5918367346938775e-06,7.8e-05,2.9999999999999997e-05
T-test,-42.04701399934922,117,two-sided,0.0,[-0.05 -0.05],2.3650132532594474,5.615e+68,1.0,S1L-ThalfusL_ODI_pre,S1L-ThalfusL_ODI_post,0.19600641505534036,0.021644631983120267,0.24754529113269633,0.021754584983576453,0.0,0.0,0.0
T-test,-0.054735895045943214,117,two-sided,0.956442,[-0.  0.],0.0004798748762460039,0.102,0.050003061964282135,S1R-Brainstem_NDI_pre,S1R-Brainstem_NDI_post,0.271116647134812,0.02229729147125376,0.2711272860334644,0.02185248829902756,0.956442,1.0,1.0
