,tract,metric,uncorrected_p,corrected_p_bonf,corrected_p_fdr_bh,corrected_p_holm
167,S1L-Brainstem,RD,0.000198,0.052272,0.00032467080745341613,0.020592
168,S1L-CaudL,AD,0.0,0.0,0.0,0.0
169,S1L-CaudL,FA,0.493321,1.0,0.5127430866141732,1.0
170,S1L-CaudL,MD,4e-06,0.0010559999999999999,1.0455445544554456e-05,0.0006879999999999999
171,S1L-CaudL,NDI_post,2.5e-05,0.0066,5.116279069767442e-05,0.003425
172,S1L-CaudL,NDI_pre,2.4e-05,0.0063360000000000005,4.9889763779527555e-05,0.003336
173,S1L-CaudL,ODI_post,0.014464,1.0,0.016971093333333333,0.5876939999999999
174,S1L-CaudL,ODI_pre,3e-06,0.0007920000000000001,8.608695652173913e-06,0.000543
175,S1L-CaudL,RD,6.9e-05,0.018216,0.00012391836734693877,0.00816
176,S1L-LentiL,AD,0.0,0.0,0.0,0.0
177,S1L-LentiL,FA,0.000413,0.109032,0.0006490000000000001,0.040061
178,S1L-LentiL,MD,1e-06,0.00026399999999999997,4e-06,0.000222
179,S1L-LentiL,NDI_post,5e-06,0.0013200000000000002,1.2815533980582526e-05,0.0008150000000000001
180,S1L-LentiL,NDI_pre,4e-06,0.0010559999999999999,1.0455445544554456e-05,0.0006879999999999999
181,S1L-LentiL,ODI_post,1e-06,0.00026399999999999997,4e-06,0.000222
182,S1L-LentiL,ODI_pre,4e-06,0.0010559999999999999,1.0455445544554456e-05,0.0006879999999999999
183,S1L-LentiL,RD,2e-06,0.0005279999999999999,6.36144578313253e-06,0.000396
184,S1L-M1L,AD,0.0,0.0,0.0,0.0
185,S1L-M1L,FA,9e-06,0.002376,2.1214285714285713e-05,0.001404
186,S1L-M1L,MD,0.0,0.0,0.0,0.0
187,S1L-M1L,NDI_post,0.0,0.0,0.0,0.0
188,S1L-M1L,NDI_pre,0.0,0.0,0.0,0.0
189,S1L-M1L,ODI_post,0.000567,0.14968800000000002,0.0008652485549132949,0.052164
190,S1L-M1L,ODI_pre,0.002651,0.699864,0.0033973980582524274,0.15738
191,S1L-M1L,RD,0.0,0.0,0.0,0.0
192,S1L-ParacentralL,AD,0.001018,0.268752,0.0014606086956521738,0.082458
193,S1L-ParacentralL,FA,0.001087,0.286968,0.0015428387096774194,0.085873
194,S1L-ParacentralL,MD,1e-06,0.00026399999999999997,4e-06,0.000222
195,S1L-ParacentralL,NDI_post,0.0,0.0,0.0,0.0
196,S1L-ParacentralL,NDI_pre,0.0,0.0,0.0,0.0
197,S1L-ParacentralL,ODI_post,0.53738,1.0,0.5541731249999999,1.0
198,S1L-ParacentralL,ODI_pre,0.775041,1.0,0.7839495172413793,1.0
199,S1L-ParacentralL,RD,1e-06,0.00026399999999999997,4e-06,0.000222
200,S1L-S1R,AD,2e-06,0.0005279999999999999,6.36144578313253e-06,0.000396
201,S1L-S1R,FA,0.0,0.0,0.0,0.0
202,S1L-S1R,MD,0.0,0.0,0.0,0.0
203,S1L-S1R,NDI_post,0.0,0.0,0.0,0.0
204,S1L-S1R,NDI_pre,0.0,0.0,0.0,0.0
205,S1L-S1R,ODI_post,0.368155,1.0,0.38568619047619046,1.0
206,S1L-S1R,ODI_pre,0.213497,1.0,0.22911873170731709,1.0
207,S1L-S1R,RD,0.0,0.0,0.0,0.0
208,S1L-ThalfusL,AD,1e-06,0.00026399999999999997,4e-06,0.000222
209,S1L-ThalfusL,FA,0.009708,1.0,0.011596886877828054,0.427152
210,S1L-ThalfusL,MD,2e-06,0.0005279999999999999,6.36144578313253e-06,0.000396
211,S1L-ThalfusL,NDI_post,2e-06,0.0005279999999999999,6.36144578313253e-06,0.000396
212,S1L-ThalfusL,NDI_pre,2e-06,0.0005279999999999999,6.36144578313253e-06,0.000396
